SP22-BS(CS)-1-A,English Comprehesion and Composition,1,1000,CVE Ms. Saima Batool,B1
SP22-BS(CS)-1-A,Applied Physics for Engineers,1,10,EE Ms. Nayab,B5
SP22-BS(CS)-1-B,Introduction to ICT,1,1000,CS Mr. Shahzad Ahmad,C1
SP22-BS(CS)-1-B,Applied Physics for Engineers,1,10,EE Mr. Ahsan,Physics Lab
SP22-BS(CS)-1-C,English Comprehesion and Composition,1,10000,CVE Ms. Saima Batool,C1.4
SP22-BS(CS)-1-C,Pakistan Studies,1,1,CVE Engr. Muhammad Shakil,B14
SP22-BS(CS)-1-C,Introduction to ICT,1,100,CS Ms. Arooj Fatima,C Lab4
SP22-BS(CS)-1-C,Introduction to ICT,1,1000,CS Ms. Arooj Fatima,Cisco Lab
SP22-BS(CS)-1-D,Applied Physics for Engineers,1,10000,EE Ms. Nayab,A1.2
SP22-BS(CS)-1-D,Mathematics I,1,10,ME Ms Sara Batool,A1.2
SP22-BS(CS)-1-D,Applied Physics for Engineers,1,100,EE Ms. Nayab,B8
SP22-BS(CS)-1-D,Pakistan Studies,1,1,CVE Engr. Muhammad Shakil,B14
FA21-BS(CS)-2-A,Professional Practices for IT,1,100,CS Mr. Osama Ahmed,C2.4
FA21-BS(CS)-2-A,Discrete Structures,1,10,MT Ms. Shaheen,A3
FA21-BS(CS)-2-B,Programming Fundamentals,1,10,EE Mr. Abdul Khaliq,Cisco Lab
FA21-BS(CS)-2-C,Discrete Structures,1,100,MT Ms. Shaheen,C1
FA21-BS(CS)-2-C,Discrete Structures,1,1000,MT Ms. Shaheen,C4
FA21-BS(CS)-2-C,Professional Practices for IT,1,10,CS Mr. Osama Ahmed,A1.1
FA21-BS(CS)-2-C,Multivariable Calculus,1,1,MT Dr Amar,W1
FA21-BS(CS)-2-D,Professional Practices for IT,1,10000,CS Mr. Osama Ahmed,C2.5
FA21-BS(CS)-2-D,Programming Fundamentals,1,100,EE Mr. Abdul Khaliq,CAD CAM Lab
SP21-BS(CS)-3-A,Differential Equations,1,100,MT Dr Najma,C5
FA20-BS(CS)-4-A,Statistics and Probability Theory,1,100,MT Ms. Nosheen,C4
FA20-BS(CS)-4-A,Pakistan Studies,1,1000,EE Ms. Maham,C1.2
FA20-BS(CS)-4-A,Microprocessor and Assembly Language,1,10,EE Ms. Maham,C2.4
FA20-BS(CS)-4-B,Software Engineering Concepts,1,100,CS Mr. Muhammad Ahmad,C1.3
FA20-BS(CS)-4-B,Microprocessor and Assembly Language,1,10000,EE Ms. Maham,A3
FA20-BS(CS)-4-B,Pakistan Studies,1,10,EE Dr Sohaib,B4
FA20-BS(CS)-4-C,Design and Analysis of Algorithms,1,10,CS Ms. Tahreem Saeed,C1.1
FA20-BS(CS)-4-C,Software Engineering Concepts,1,1000,CS Mr. Muhammad Ahmad,C2.2
FA20-BS(CS)-4-C,Microprocessor and Assembly Language,1,100,EE Ms. Maham,B11
SP20-BS(CS)-5-A,Computer Architecture,1,10,EE Dr Tariq Shahzad,C3
SP20-BS(CS)-5-A,Game Development,1,100,CS Mr. Ali Sher Kashif,C1.1
SP20-BS(CS)-5-A,Software Design Methodologies,1,1,CS Ms. Mubeen Javed,C1.4
SP20-BS(CS)-5-A,Operating Systems,1,1000,CS Sharmeen Mahmood,C Lab4
SP20-BS(CS)-5-A,Data Communications and Computer Networks,1,10000,CS Ms. Tahreem Saeed,C lab5
SP20-BS(CS)-5-B,Computer Architecture,1,10,EE Dr Tariq Shahzad,C3
SP20-BS(CS)-5-B,Game Development,1,100,CS Mr. Ali Sher Kashif,C1.1
SP20-BS(CS)-5-B,Software Design Methodologies,1,1,CS Ms. Mubeen Javed,C1.4
SP20-BS(CS)-5-B,Operating Systems,1,1000,CS Sharmeen Mahmood,C Lab4
SP20-BS(CS)-5-B,Data Communications and Computer Networks,1,10000,CS Ms. Tahreem Saeed,C lab5
FA19-BS(CS)-6-A,Machine Learning,1,10,CS Dr. Muhammad Shoaib,C2.3
FA19-BS(CS)-6-A,Numerical Computing,1,100,MT Dr. Hameedullah,A2.2
FA19-BS(CS)-6-A,Numerical Computing,1,1000,MT Dr. Hameedullah,W2
FA19-BS(CS)-6-B,Numerical Computing,1,10,MT Dr. Hameedullah,C1.2
FA19-BS(CS)-6-B,Machine Learning,1,1000,CS Dr. Muhammad Shoaib,C2.3
FA19-BS(CS)-6-B,Electricity Magnetism and Optics,1,100,EE Mr. Kashif,C&E Lab
SP19-BS(CS)-7-A ,Artificial Intelligence,1,1,CS Ms. Azka Mehmood,C4
SP19-BS(CS)-7-A ,Artificial Intelligence,1,10000,CS Ms. Azka Mehmood,C1.2
SP19-BS(CS)-7-A ,Human Computer Interaction,1,100,CS Ms. Zamzam,C lab5
